page,base,target,last_price,volume_usd,bid_ask_spread,trust_score,market,coin_id,target_coin_id,trading_pair,Volume,liquidity_score,trust_grade
1,wstETH,WETH,1.2085494038,73309305.0,0.602712,green,Uniswap V3 (Ethereum),wrapped-steth,weth,wstETH/WETH,"$73,309,305",30.88,C
1,0X50327C...,WETH,7.655719829e-05,62633283.0,0.602724,green,Uniswap V3 (Ethereum),wrapped-tron,weth,0X50327C.../WETH,"$62,633,283",26.38,C
1,WBTC,USDC,115454.373768393,50530602.0,0.602716,green,Uniswap V3 (Ethereum),wrapped-bitcoin,usd-coin,WBTC/USDC,"$50,530,602",21.29,C
1,cbBTC,WBTC,0.9997646137,49018974.0,0.602715,green,Uniswap V3 (Ethereum),coinbase-wrapped-btc,wrapped-bitcoin,cbBTC/WBTC,"$49,018,974",20.65,C
1,WBTC,USDT,115723.495116792,48691914.0,0.602731,green,Uniswap V3 (Ethereum),wrapped-bitcoin,tether,WBTC/USDT,"$48,691,914",20.51,C
1,USDC,USDT,1.0001576206,45167570.0,0.602734,green,Uniswap V3 (Ethereum),usd-coin,tether,USDC/USDT,"$45,167,570",19.03,D
1,LINK,WETH,0.005459844079,31201615.0,0.60272,green,Uniswap V3 (Ethereum),chainlink,weth,LINK/WETH,"$31,201,615",13.14,D
1,DAI,USDT,1.0001944898,19878035.0,0.602859,green,Uniswap V3 (Ethereum),dai,tether,DAI/USDT,"$19,878,035",8.37,D
1,WBTC,USDT,115931.475772281,14191803.0,0.602749,green,Uniswap V3 (Ethereum),wrapped-bitcoin,tether,WBTC/USDT,"$14,191,803",5.98,D
1,weETH,WETH,1.0721077663,13746685.0,0.602774,green,Uniswap V3 (Ethereum),wrapped-eeth,weth,weETH/WETH,"$13,746,685",5.79,D
1,USDe,USDT,1.0007703936,13585626.0,0.602823,green,Uniswap V3 (Ethereum),ethena-usde,tether,USDe/USDT,"$13,585,626",5.72,D
1,AAVE,WETH,0.07230151017,11240312.0,0.602728,green,Uniswap V3 (Ethereum),aave,weth,AAVE/WETH,"$11,240,312",4.73,D
1,WBTC,USDC,115683.89814283,11276449.0,0.602817,green,Uniswap V3 (Ethereum),wrapped-bitcoin,usd-coin,WBTC/USDC,"$11,276,449",4.75,D
1,wstETH,rsETH,1.1536509068,8337894.0,0.602726,green,Uniswap V3 (Ethereum),wrapped-steth,kelp-dao-restaked-eth,wstETH/rsETH,"$8,337,894",3.51,D
1,USD1,USDT,0.9999883971,4584575.0,0.602847,green,Uniswap V3 (Ethereum),usd1-wlfi,tether,USD1/USDT,"$4,584,575",1.93,D
1,ENA,sENA,0.9857876796,4588325.0,0.602957,green,Uniswap V3 (Ethereum),ethena,ethena-staked-ena,ENA/sENA,"$4,588,325",1.93,D
1,sUSDe,USDT,1.1913616613,4199603.0,0.605004,green,Uniswap V3 (Ethereum),ethena-staked-usde,tether,sUSDe/USDT,"$4,199,603",1.77,D
1,PAXG,USDC,3356.13993921,3435937.0,0.602846,green,Uniswap V3 (Ethereum),pax-gold,usd-coin,PAXG/USDC,"$3,435,937",1.45,D
1,USDf,USDT,0.9998879244,3155077.0,0.602731,green,Uniswap V3 (Ethereum),falcon-finance,tether,USDf/USDT,"$3,155,077",1.33,D
1,AAVE,USDC,342.1863947447,3313706.0,0.603254,green,Uniswap V3 (Ethereum),aave,usd-coin,AAVE/USDC,"$3,313,706",1.4,D
1,LBTC,WBTC,0.9997143362,3044458.0,0.602793,green,Uniswap V3 (Ethereum),lombard-staked-btc,wrapped-bitcoin,LBTC/WBTC,"$3,044,458",1.28,D
1,ADO,WETH,7.093243598e-06,3069103.0,0.60283,green,Uniswap V3 (Ethereum),ado-network,weth,ADO/WETH,"$3,069,103",1.29,D
1,meth,WETH,1.0687455262,2660945.0,0.602756,green,Uniswap V3 (Ethereum),mantle-staked-ether,weth,meth/WETH,"$2,660,945",1.12,D
1,0XBE0ED4...,WETH,7.478059032e-06,2429410.0,0.602811,green,Uniswap V3 (Ethereum),aethir,weth,0XBE0ED4.../WETH,"$2,429,410",1.02,D
