page,base,target,last_price,volume_usd,bid_ask_spread,trust_score,market,coin_id,target_coin_id,trading_pair,Volume,liquidity_score,trust_grade
11,WETH,USDC,4718.2572565314,237395434.0,0.602725,,Uniswap V3 (Ethereum),weth,usd-coin,WETH/USDC,"$237,395,434",100.0,A
11,WETH,USDT,4724.1541426196,179891695.0,0.602738,,Uniswap V3 (Ethereum),weth,tether,WETH/USDT,"$179,891,695",75.78,B
11,USDC,WETH,0.0002119190601,130939416.0,0.602747,,Uniswap V3 (Ethereum),usd-coin,weth,USDC/WETH,"$130,939,416",55.16,B
12,USDC,WETH,0.0002119290903,130817746.0,0.602747,,Uniswap V3 (Ethereum),usd-coin,weth,USDC/WETH,"$130,817,746",55.11,B
1,wstETH,WETH,1.2085494038,73309305.0,0.602712,green,Uniswap V3 (Ethereum),wrapped-steth,weth,wstETH/WETH,"$73,309,305",30.88,C
12,0X50327C...,WETH,7.64511739e-05,62913924.0,0.602724,,Uniswap V3 (Ethereum),wrapped-tron,weth,0X50327C.../WETH,"$62,913,924",26.5,C
1,0X50327C...,WETH,7.655719829e-05,62633283.0,0.602724,green,Uniswap V3 (Ethereum),wrapped-tron,weth,0X50327C.../WETH,"$62,633,283",26.38,C
1,WBTC,USDC,115454.373768393,50530602.0,0.602716,green,Uniswap V3 (Ethereum),wrapped-bitcoin,usd-coin,WBTC/USDC,"$50,530,602",21.29,C
1,cbBTC,WBTC,0.9997646137,49018974.0,0.602715,green,Uniswap V3 (Ethereum),coinbase-wrapped-btc,wrapped-bitcoin,cbBTC/WBTC,"$49,018,974",20.65,C
1,WBTC,USDT,115723.495116792,48691914.0,0.602731,green,Uniswap V3 (Ethereum),wrapped-bitcoin,tether,WBTC/USDT,"$48,691,914",20.51,C
11,USDC,USDT,1.0003574138,45168749.0,0.602734,green,Uniswap V3 (Ethereum),usd-coin,tether,USDC/USDT,"$45,168,749",19.03,D
1,USDC,USDT,1.0001576206,45167570.0,0.602734,green,Uniswap V3 (Ethereum),usd-coin,tether,USDC/USDT,"$45,167,570",19.03,D
11,WBTC,WETH,24.6061865957,35387840.0,0.602722,,Uniswap V3 (Ethereum),wrapped-bitcoin,weth,WBTC/WETH,"$35,387,840",14.91,D
1,LINK,WETH,0.005459844079,31201615.0,0.60272,green,Uniswap V3 (Ethereum),chainlink,weth,LINK/WETH,"$31,201,615",13.14,D
11,USDC,WETH,0.0002128921626,25596731.0,0.602721,,Uniswap V3 (Ethereum),usd-coin,weth,USDC/WETH,"$25,596,731",10.78,D
12,USDC,WETH,0.0002128921626,25572730.0,0.602721,,Uniswap V3 (Ethereum),usd-coin,weth,USDC/WETH,"$25,572,730",10.77,D
1,DAI,USDT,1.0001944898,19878035.0,0.602859,green,Uniswap V3 (Ethereum),dai,tether,DAI/USDT,"$19,878,035",8.37,D
11,DAI,USDC,0.9999754947,17220785.0,0.602722,,Uniswap V3 (Ethereum),dai,usd-coin,DAI/USDC,"$17,220,785",7.25,D
1,WBTC,USDT,115931.475772281,14191803.0,0.602749,green,Uniswap V3 (Ethereum),wrapped-bitcoin,tether,WBTC/USDT,"$14,191,803",5.98,D
1,weETH,WETH,1.0721077663,13746685.0,0.602774,green,Uniswap V3 (Ethereum),wrapped-eeth,weth,weETH/WETH,"$13,746,685",5.79,D
1,USDe,USDT,1.0007703936,13585626.0,0.602823,green,Uniswap V3 (Ethereum),ethena-usde,tether,USDe/USDT,"$13,585,626",5.72,D
11,USDe,USDC,1.0006674507,11834832.0,0.602799,green,Uniswap V3 (Ethereum),ethena-usde,usd-coin,USDe/USDC,"$11,834,832",4.99,D
1,WBTC,USDC,115683.89814283,11276449.0,0.602817,green,Uniswap V3 (Ethereum),wrapped-bitcoin,usd-coin,WBTC/USDC,"$11,276,449",4.75,D
1,AAVE,WETH,0.07230151017,11240312.0,0.602728,green,Uniswap V3 (Ethereum),aave,weth,AAVE/WETH,"$11,240,312",4.73,D
1,wstETH,rsETH,1.1536509068,8337894.0,0.602726,green,Uniswap V3 (Ethereum),wrapped-steth,kelp-dao-restaked-eth,wstETH/rsETH,"$8,337,894",3.51,D
11,SEI,USDC,0.3177822399,7668302.0,0.602747,green,Uniswap V3 (Ethereum),layerzero-bridged-sei,usd-coin,SEI/USDC,"$7,668,302",3.23,D
12,SEI,USDC,0.3177822399,7658596.0,0.602747,,Uniswap V3 (Ethereum),layerzero-bridged-sei,usd-coin,SEI/USDC,"$7,658,596",3.23,D
1,ENA,sENA,0.9857876796,4588325.0,0.602957,green,Uniswap V3 (Ethereum),ethena,ethena-staked-ena,ENA/sENA,"$4,588,325",1.93,D
1,USD1,USDT,0.9999883971,4584575.0,0.602847,green,Uniswap V3 (Ethereum),usd1-wlfi,tether,USD1/USDT,"$4,584,575",1.93,D
1,sUSDe,USDT,1.1913616613,4199603.0,0.605004,green,Uniswap V3 (Ethereum),ethena-staked-usde,tether,sUSDe/USDT,"$4,199,603",1.77,D
11,UNI,WETH,0.00236730089,3919973.0,0.602716,,Uniswap V3 (Ethereum),uniswap,weth,UNI/WETH,"$3,919,973",1.65,D
11,PAXG,USDC,3356.13993921,3457300.0,0.602846,green,Uniswap V3 (Ethereum),pax-gold,usd-coin,PAXG/USDC,"$3,457,300",1.46,D
